date,open,high,low,close,volume
2013-12-03,14.0,15.0,13.0,15.0,79865
2013-12-04,13.0,15.0,13.0,13.0,223484
2013-12-05,14.0,15.0,13.0,13.0,36400
2013-12-06,13.0,14.0,13.0,13.0,23700
2013-12-09,14.0,14.0,13.0,13.0,15245
2013-12-10,13.0,14.0,13.0,13.0,13322
2013-12-11,13.0,13.0,13.0,13.0,27428
2013-12-12,13.0,14.0,13.0,13.0,29472
2013-12-13,13.0,14.0,13.0,14.0,18650
2013-12-16,14.0,14.0,14.0,14.0,0
2013-12-17,13.0,13.0,13.0,13.0,11
2013-12-18,13.0,13.0,13.0,13.0,0
2013-12-19,14.0,14.0,12.0,12.0,12600
2013-12-20,12.0,13.0,12.0,13.0,39170
2013-12-23,13.0,13.0,12.0,13.0,30996
2013-12-24,13.0,13.0,13.0,13.0,0
2013-12-26,13.0,13.0,13.0,13.0,0
2013-12-27,13.0,13.0,13.0,13.0,0
2013-12-30,14.0,14.0,14.0,14.0,53165
2013-12-31,14.0,14.0,14.0,14.0,0
2014-01-02,15.0,15.0,12.0,12.0,48150
2014-01-03,14.0,14.0,13.0,14.0,27093
2014-01-06,14.0,14.0,13.0,13.0,84400
2014-01-07,13.0,13.0,13.0,13.0,2000
2014-01-08,13.0,13.0,13.0,13.0,11400
2014-01-09,14.0,14.0,14.0,14.0,3760
2014-01-10,13.0,13.0,12.0,12.0,213740
2014-01-13,14.0,14.0,12.0,12.0,61780
2014-01-14,12.0,13.0,12.0,13.0,57823
2014-01-15,13.0,13.0,12.0,12.0,24100
2014-01-16,13.0,13.0,12.0,12.0,39500
2014-01-17,12.0,13.0,12.0,13.0,33001
2014-01-21,12.0,12.0,12.0,12.0,7509
2014-01-22,13.0,13.0,13.0,13.0,6050
2014-01-23,12.0,12.0,12.0,12.0,26100
2014-01-24,13.0,13.0,12.0,12.0,5099
2014-01-27,12.0,12.0,12.0,12.0,4000
2014-01-28,13.0,13.0,12.0,12.0,23190
2014-01-29,12.0,12.0,11.0,11.0,35830
2014-01-30,12.0,12.0,11.0,11.0,17202
2014-01-31,11.0,11.0,10.0,10.0,138998
2014-02-03,10.0,11.0,10.0,10.0,14900
2014-02-04,11.0,11.0,11.0,11.0,870
2014-02-05,10.0,11.0,10.0,11.0,24400
2014-02-06,12.0,12.0,11.0,12.0,9500
2014-02-10,11.0,11.0,11.0,11.0,262151
2014-02-11,11.0,11.0,11.0,11.0,2200
2014-02-12,12.0,12.0,12.0,12.0,1050
2014-02-13,12.0,12.0,12.0,12.0,31000
